"","FC","log2(FC)","p.ajusted","-log10(p)"
"Methylenolactocin",3172.9,11.632,0.0011082,2.9554
"octylphenol",44.633,5.4801,0.0011082,2.9554
"(+)-Bornane-2_5-dione",561.65,9.1335,0.001144,2.9416
"C10H21P3",0.0010266,-9.9279,0.0011563,2.9369
"mz_190.00044_&_RT_17.544",0.0048148,-7.6983,0.0011563,2.9369
"1_5-Anhydro-D-mannitol",151.39,7.2422,0.0011563,2.9369
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate",0.0022909,-8.7699,0.0011578,2.9364
"C15H30N2O7",291.18,8.1858,0.0011691,2.9321
"2-Isopropylnaphthalene",0.0096588,-6.6939,0.0011754,2.9298
"Aurantiomide C",350.42,8.4529,0.0011894,2.9247
"mz_336.68977_&_RT_0.73",65.102,6.0246,0.0011917,2.9238
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid",109.29,6.7721,0.0012113,2.9168
"2-(2,3-Dihydro-1-benzofuran-5-yl)ethanesulfonamide",0.0014074,-9.4727,0.0012129,2.9162
"2-Methylserine",0.0025078,-8.6394,0.0012129,2.9162
"1-(2-Naphthyl)ethanol",0.010557,-6.5656,0.0012129,2.9162
"L-Tyrosinemethylester",187,7.5469,0.0012155,2.9153
"1,3,5-Heptatriene",1158.7,10.178,0.0012217,2.913
"2-coumarate",0.0074051,-7.0773,0.0012269,2.9112
"mz_410.62219_&_RT_0.73",20.941,4.3883,0.0012269,2.9112
"1_2_4-Trimethylbenzene",4.1229,2.0437,0.0012269,2.9112
"mz_410.62218_&_RT_0.891",0.05553,-4.1706,0.0012354,2.9082
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid",0.21867,-2.1932,0.0012557,2.9011
"Pseudopyronine B",55.743,5.8007,0.0012747,2.8946
"Trans-9-hydroxy-3-methyl-8-oxo-dodec-trans-6-en-4-olide",33.369,5.0604,0.0012747,2.8946
"Citrinin",89.809,6.4888,0.0013079,2.8834
"(R)-Coclaurine",4986.2,12.284,0.0013117,2.8822
"4-O-methylmelleolide",912.8,9.8342,0.0013117,2.8822
"2-(Phenylsulfanyl)cyclohexanone",0.012249,-6.3512,0.0013117,2.8822
"Maristachone B",0.056497,-4.1457,0.0013117,2.8822
"N-[1-(4,5-Dimethyl-2-oxido-1,3,2-dioxaphospholan-2-yl)cyclohexyl]-4H-1,2,4-triazol-4-amine",0.0027835,-8.4889,0.0013262,2.8774
"Palmitoleic acid",772.69,9.5937,0.0013269,2.8772
"Botryosphaerilactone A",13.64,3.7697,0.0013269,2.8772
"4-Hydroxy-1,8-epi-isotenerone",0.0068865,-7.182,0.0013346,2.8746
"C17H37P3",403.19,8.6553,0.0013538,2.8684
"N,N,N',N'-Tetraethyl-P-(1-methyl-1H-imidazol-2-yl)phosphonic diamide",0.01322,-6.2411,0.0013776,2.8609
"Valsafungin B",109.2,6.7708,0.0013841,2.8588
"Geranylacetate",0.0032389,-8.2703,0.0013854,2.8584
"Solanapyrone L",238.95,7.9006,0.0013978,2.8545
"Xenocyloin E",27.132,4.7619,0.0013978,2.8545
"Asenjonamide B",61.179,5.935,0.0014027,2.853
"Phloionolic acid",0.11095,-3.172,0.0014027,2.853
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone",94.94,6.5689,0.0014155,2.8491
"3-Dehydrocarnitine",7.9373,2.9886,0.00142,2.8477
"(-)-jasmonic acid",85.98,6.4259,0.0014772,2.8306
"Aurantiomide B",89.342,6.4813,0.0014849,2.8283
"8'-Hydroxyabscisate",45.208,5.4985,0.0014898,2.8269
"C26H51N5O4",0.0081614,-6.937,0.0014927,2.826
"Speciosin H",0.0026962,-8.5349,0.0014971,2.8248
"C15H37N4O3P",49.014,5.6151,0.0015451,2.811
"H-Thr(tBu)-OtBu",92.048,6.5243,0.0015647,2.8056
"Neolymphostinol C",187.44,7.5503,0.0015766,2.8023
"GP1750000",0.029954,-5.0611,0.0015842,2.8002
"Dendryphiellic acid A",1076.5,10.072,0.0015906,2.7984
"Safracin A",160.93,7.3303,0.0015906,2.7984
"LAURIMINODIPROPIONIC ACID",51.309,5.6811,0.0016272,2.7886
"N-sec-Butyl-N'-ethyl-6-[(isopropylideneamino)oxy]-1,3,5-triazine-2,4-diamine",25.326,4.6625,0.0016272,2.7886
"Trilostane",34.363,5.1028,0.0016307,2.7876
"3-hydroxy-N-(1-hydroxy-3-methylpentan-2-yl)-5-oxohexanamide",246.53,7.9456,0.0016513,2.7822
"D-Proline",3.7579e-05,-14.7,0.0016939,2.7711
"N-Cyclopropyl-2-(3-oxo-2-piperazinyl)acetamide",0.011131,-6.4893,0.0017081,2.7675
"mz_254.81502_&_RT_0.887",0.01944,-5.6848,0.0017778,2.7501
"Deca-5,7,9-triynol",0.00046002,-11.086,0.0017779,2.7501
"Damascenone",0.010067,-6.6342,0.0017779,2.7501
"Cyclo(6,7-en-Pro-L-Phe)",27.929,4.8037,0.001793,2.7464
"mz_304.74191_&_RT_0.89",0.020908,-5.5798,0.001846,2.7338
"C21H41N4O10P",29.81,4.8977,0.001846,2.7338
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate",277.95,8.1187,0.0018725,2.7276
"mz_184.1075_&_RT_0.894",164.2,7.3594,0.0018904,2.7234
"(R)-Malate",125.58,6.9725,0.0019053,2.72
"Peniamidienone",239.83,7.9059,0.001986,2.702
"1-O-Acetyl-D-glucitol",0.012407,-6.3327,0.0020601,2.6861
"mz_468.58067_&_RT_0.891",0.054625,-4.1943,0.0020601,2.6861
"(1S,2S)-3-oxo-2-pentylcyclopentane-1-octanoic acid",0.00053406,-10.871,0.0020845,2.681
"(9S_10S)-9_10-Dihydroxyoctadecanoate",0.0074786,-7.063,0.0020894,2.68
"Peniciginseng B",0.0034662,-8.1724,0.0020982,2.6782
"2-Methyl-2-propanyl [(1-{[ethyl(methyl)sulfamoyl]amino}-3-methyl-2-butanyl)oxy]carbamate",41.632,5.3796,0.0020982,2.6782
"mz_304.74209_&_RT_0.73",5.5022,2.46,0.0020982,2.6782
"Eugenol;4-Allylguaiacol",881.46,9.7838,0.0021029,2.6772
"2-(4-aminophenylthio)acetic acid",0.00054003,-10.855,0.0021105,2.6756
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid",0.0038741,-8.0119,0.0021135,2.675
"C17H35P3",64.062,6.0014,0.0021693,2.6637
"Eudesm-4(15)",17.475,4.1272,0.0022052,2.6566
"2-Phenylpropan-2-ol",1440.2,10.492,0.0022115,2.6553
"4-Hydroxycinnamoylmethane",0.0012946,-9.5933,0.0022492,2.648
"mz_394.64831_&_RT_0.891",0.028551,-5.1303,0.0022492,2.648
"mz_153.10166_&_RT_0.893",148.08,7.2102,0.0022506,2.6477
"C16H35N8OP",15.399,3.9448,0.0022506,2.6477
"Toluene",243.43,7.9274,0.0022606,2.6458
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid",0.0033272,-8.2315,0.0022916,2.6399
"3-hydroxy-2-N-iso-butyryl-anthranilamide",0.0018332,-9.0914,0.0023128,2.6359
"C6H9N4O2P",68.099,6.0896,0.0023394,2.6309
"C7HCl3S5",16.199,4.0179,0.0024541,2.6101
"LysoPC(18:3(9Z,12Z,15Z))",240.55,7.9102,0.0025581,2.5921
"8-Methoxymethyl-3-isobutyl-1-methylxanthine",0.0019806,-8.9798,0.0026756,2.5726
"(E)-4-hydroxyphenylacetaldehydeoxime",1066.1,10.058,0.0026811,2.5717
"N-{Adamantan-1-yl[bis(dimethylamino)]phosphoranylidene}-1-azepanecarbothioamide",64.516,6.0116,0.0026811,2.5717
"Radianspene L",17.881,4.1604,0.0027174,2.5658
"Penicipyranone",1066.4,10.059,0.0027293,2.564
"Propafenone",53.718,5.7473,0.002811,2.5511
"C15H35P3",114.25,6.836,0.0029066,2.5366
"(R)-Norcoclaurine",203.44,7.6684,0.0029128,2.5357
"Cytisine",0.014698,-6.0883,0.0029179,2.5349
"(5-Bromo-1,2,3-thiadiazol-4-yl)methanesulfonyl chloride",41.458,5.3736,0.0029206,2.5345
"1-[(3aR,6R,7aS)-6-(Cyclopropylmethoxy)-3a-methoxyoctahydro-1H-indol-1-yl]-2-phenylethanone",173.03,7.4349,0.0029883,2.5246
"Methyl diethanolamine",0.14866,-2.7499,0.0030592,2.5144
"?-(Methylenecyclopropyl)glycine",0.00030636,-11.672,0.003067,2.5133
"3-Methyl-1-(2_4_6-trihydroxyphenyl)butan-1-one",110.68,6.7902,0.0031269,2.5049
"N-(5-Amino-3,6-dicyano-2-pyrazinyl)formamide",71.597,6.1618,0.0031269,2.5049
"Piperidione",49.505,5.6295,0.0032571,2.4872
"1,5-Pentanedithiol",14385,13.812,0.0032674,2.4858
"C3HO7P3S",0.011276,-6.4706,0.0032892,2.4829
"2_5-Dihydroxybenzaldehyde",244.35,7.9328,0.0033411,2.4761
"C24H46N4O18P2",25.737,4.6858,0.0033411,2.4761
"mz_162.07559_&_RT_0.891",245.29,7.9384,0.0033539,2.4745
"2-Methyl-2-propanyl [(14-amino-3,6,9,12-tetraoxatetradec-1-yl)oxy]carbamate",0.0041613,-7.9088,0.0033749,2.4717
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate",9.0525,3.1783,0.0033749,2.4717
"O-Propanoylcarnitine",84.143,6.3948,0.0033782,2.4713
"1,4,8,11-Tetraazacyclotetradecan-1-ylphosphonic acid",19.198,4.2629,0.0033782,2.4713
"mz_206.10155_&_RT_0.894",58.607,5.873,0.0035131,2.4543
"Drechslerine C",0.0029678,-8.3964,0.0035651,2.4479
"C7H16ClN2PS2",0.010834,-6.5283,0.0036701,2.4353
"N-({2-[(Dimethylcarbamoyl)amino]ethyl}sulfamoyl)-N-methyl-beta-alanine",2497.6,11.286,0.003696,2.4323
"MFCD00674434",22.453,4.4888,0.003696,2.4323
"AminoDHQ",0.094449,-3.4043,0.0037122,2.4304
"4-Amino-5-hydroxymethyl-2-methylpyrimidine",0.0017758,-9.1373,0.0037485,2.4261
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one",0.16061,-2.6384,0.0037485,2.4261
"4-N-OCTYLSTYRENE",0.025153,-5.3131,0.0037704,2.4236
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine",62.744,5.9714,0.0038312,2.4167
"6,7-DIETHYL-1,1,4,4-TETRAMETHYLTETRALINE",0.1502,-2.735,0.0039186,2.4069
"Ala-Pro(Alanyl-Proline)",146.85,7.1982,0.0039339,2.4052
"Gloeophyllol B",28.35,4.8253,0.0039339,2.4052
"C6H15NO6",153.53,7.2624,0.0039982,2.3981
"Trichobotrysin F",3200.5,11.644,0.0040806,2.3893
"Brocaeloid C",0.0038415,-8.0241,0.0040806,2.3893
"C7H13N2O7P",207.94,7.7,0.0041389,2.3831
"L-Kynurenine",82.364,6.3639,0.0042659,2.37
"Cephalosporolide H",206.5,7.69,0.0042703,2.3695
"Simplifungin",21.178,4.4045,0.0042703,2.3695
"(R)-2_3-Dihydroxy-3-methylpentanoate",217.04,7.7618,0.0042945,2.3671
"N-[(trans-4-{[(1-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-prolyl)amino]methyl}cyclohexyl)carbonyl]-L-valine",41.223,5.3654,0.0042945,2.3671
"C10H25N4P",38.728,5.2753,0.0043755,2.359
"Nicotinuricacid",0.0017696,-9.1424,0.0044381,2.3528
"2-(2-Thienyl)piperidine",0.0086006,-6.8613,0.0044671,2.35
"Isoprene",4.3138,2.109,0.0045327,2.3436
"1_2-Dihydrosantonin",35.473,5.1487,0.0045943,2.3378
"C16H34N2O2S2",38.366,5.2617,0.0048678,2.3127
"2-Oxo-3-piperidinecarbohydrazide",0.001595,-9.2922,0.0049801,2.3028
"C5H16N2O6P2",0.0064087,-7.2858,0.0049801,2.3028
"1-[(3R,4R)-3-(1-Azepanylmethyl)-4-(hydroxymethyl)-1-pyrrolidinyl]-2-hydroxyethanone",0.005839,-7.4201,0.0051408,2.289
"12-Aminolauric Acid",0.019188,-5.7037,0.0051408,2.289
"mz_378.67424_&_RT_0.891",0.0441,-4.5031,0.0051592,2.2874
"3-Methoxy prostaglandin F1α",45.109,5.4953,0.0052866,2.2768
"3''-hydroxy-geranylhydroquinone",11.284,3.4963,0.0056716,2.2463
"1,3-BIS(METHYLTHIO)-2-PROPANOL",1401.4,10.453,0.0057258,2.2422
"1-Palmitoyl-2-hydroxy-sn-glycero-3-PE",0.0054432,-7.5213,0.0057316,2.2417
"C16H33N4O7P",16.683,4.0603,0.0057329,2.2416
"C12H14N10",4.4829,2.1644,0.0058052,2.2362
"2-methyl-2,4-hexadiene",0.0022103,-8.8215,0.005861,2.232
"Cafestol",0.0012409,-9.6544,0.0058858,2.2302
"C14H13N4O5P",99.89,6.6423,0.0060762,2.2164
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one",111.19,6.7969,0.0061046,2.2143
"Lentzeoside C",81.576,6.3501,0.0061917,2.2082
"Naphthalene",0.0003109,-11.651,0.006486,2.188
"Pestarhamnose B",0.0061682,-7.3409,0.0065812,2.1817
"MFCD03462230",32.432,5.0193,0.0065812,2.1817
"Juniperic acid",0.016006,-5.9653,0.0069672,2.1569
"4-(3,4-Dihydro-2H-1,5-benzodioxepin-7-yl)benzohydrazide",101.57,6.6664,0.0071035,2.1485
"C12H31N4O3P",0.0083635,-6.9017,0.0071193,2.1476
"Gloeolactone",171.72,7.4239,0.0071649,2.1448
"D-2-Amino-hexano-6-lactam",85.27,6.414,0.0072623,2.1389
"N-Acetyl-L-carnosine",0.0014621,-9.4177,0.0073615,2.133
"1-Ethynyl-4-octylbenzene",14.102,3.8179,0.0073615,2.133
"5-Guanidino-2-oxopentanoate",0.15435,-2.6957,0.0074995,2.125
"(2S)-2-Isopropyl-3-oxosuccinate",475.76,8.8941,0.0077244,2.1121
"Ethyl 5-acetyl-2-amino-4-methyl-3-thiophenecarboxylate",0.0069095,-7.1772,0.0084084,2.0753
"C2H8N9P",572.2,9.1604,0.0085086,2.0701
"Nodulisporipyrone B",204.72,7.6775,0.0088495,2.0531
"(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate",482.59,8.9147,0.0088973,2.0507
"2_2'-Iminodipropanoate",1988.1,10.957,0.0089199,2.0496
"(-)-Jasmonicacid",0.0061548,-7.3441,0.0091454,2.0388
"Dodecyl (1-octanoyl-3-oxo-2-piperazinyl)acetate",17.644,4.1411,0.0095187,2.0214
"D-Serine",143.47,7.1646,0.009688,2.0138
"Validoxylamine G",16.474,4.0421,0.009688,2.0138
"5-hydroxymethylfurfural",174.08,7.4436,0.0097853,2.0094
"15,16-Diisopropyl-3,6,7,10,13,14-hexamethylpentacyclo[10.2.1.1~5,8~.0~2,11~.0~4,9~]hexadeca-2(11),3,6,9,13-pentaene",43.205,5.4331,0.0099068,2.0041
"Dinemasone A",445.99,8.8009,0.0099738,2.0011
